编号,评论时间,用户ID,昵称,评论楼层,评论内容,情感值,小时
1,2025-06-17 06:25:31+08:00,1764182395,Barrichello_Hu,6,无事献殷勤，必有怪,0.7796580111706971,6
2,2025-06-17 07:13:17+08:00,1933706692,宝贝儿菁,104,无孔不入，防不胜防！加强警惕！,0.8501598100548067,7
3,2025-06-17 06:45:01+08:00,3378332900,花花西瓜桃子草莓,52,杨教授太棒了,0.988198718501937,6
4,2025-06-17 07:59:44+08:00,1681357594,景姐爱韩庚,151,这位杨教授警惕性好高赞,0.9887133548402283,7
5,2025-06-17 06:43:12+08:00,2296922572,出岫凝云_z,47,维护国家安全，人人有责，警惕之心需常有加油,0.9821536234514908,6
6,2025-06-17 06:35:37+08:00,3276722231,陈-医-生,30,警惕,0.7000000000000001,6
7,2025-06-17 06:53:42+08:00,7307470476,猫咪在偷哭_,72,提高警惕,0.6774921075767272,6
8,2025-06-17 06:26:48+08:00,1425285581,冥王星1974,10,我也试图在公司推行双网制度，但失败了，内网除了监控安防食堂小店，没人用,0.03505138348861636,6
9,2025-06-17 08:47:39+08:00,7323854637,吃青菜的虫虫笑笑,328,敌人亡我之心不死,0.896218280346576,8
10,2025-06-17 07:27:11+08:00,7398070328,清风雨痕_,114,提高警惕啊,0.6774921075767272,7
11,2025-06-17 06:30:53+08:00,7541946246,乐乐-live,20,提高警惕！,0.6774921075767272,6
12,2025-06-17 07:53:53+08:00,7731508430,零零要早点睡哟,143,天呐提高警惕作揖,0.34941369308546977,7
13,2025-06-17 07:01:40+08:00,5316770306,软软的轻风,88,杨教授做得好赞赞维护国家安全人人有责！,0.9996848707998435,7
14,2025-06-17 09:17:12+08:00,1662558237,云南发布,423,间谍冒充大学生窃密转发！警惕！间谍用套取我国敏感数据,0.9993353841956254,9
15,2025-06-17 07:07:39+08:00,6482135088,aWhale小鲸,98,邮箱服务提供商有责任过滤带病毒、带木马程序的问题邮件,0.6770882382670558,7
16,2025-06-17 08:03:48+08:00,6162926109,韧慊薏_7,158,提高警惕，保卫好祖国心,0.9243747699143176,8
17,2025-06-17 06:45:22+08:00,7373132374,告白灼日,54,警惕呀,0.7000000000000001,6
18,2025-06-17 08:03:50+08:00,6456038263,时光稀释xz,159,提高警惕,0.6774921075767272,8
19,2025-06-17 06:48:06+08:00,3197478282,天天开心壹贰壹叁,62,间谍汉奸抓住第一时间枪毙,0.040158787468409174,6
20,2025-06-17 08:29:27+08:00,2948964243,自由自在的伟,253,提高警惕,0.6774921075767272,8
21,2025-06-17 10:36:27+08:00,7884990719,安娜乖乖娜,600,真的是无孔不入呀大家一定要警惕警惕！,0.8619401021391767,10
22,2025-06-17 10:35:19+08:00,7612355097,一地飘零97908,596,这真是无孔不入啊,0.5,10
23,2025-06-17 10:08:49+08:00,7654233346,Destiny_11un,556,要时刻保持提高警惕！,0.7505501049425923,10
24,2025-06-17 09:47:35+08:00,1902298885,北京高生,501,提高警惕,0.6774921075767272,9
25,2025-06-17 09:39:25+08:00,7685246121,嫿禕_,475,提高警惕，维护国家安全，人人有责！,0.7249436277753416,9
26,2025-06-17 09:12:26+08:00,7486791370,孤城岸边51959,411,警惕,0.7000000000000001,9
27,2025-06-17 08:54:37+08:00,6084285492,傅家苡橙,345,真是防不胜防，提高警惕！,0.8501598100548067,8
28,2025-06-17 07:24:59+08:00,7879486433,梦海寻影,111,时刻提高警惕,0.7505501049425923,7
29,2025-06-17 07:23:59+08:00,5883405944,浮云孤舟意阑珊,110,无孔不入的窃密者！！,0.39329414992709544,7
30,2025-06-17 07:18:50+08:00,5739160549,孤身骑车人046400,107,看看伊朗的惨败，我国必须消灭所有汉奸才行啊！攘外必先安内！,0.7261005061507049,7
31,2025-06-17 06:45:09+08:00,7373132374,告白灼日,53,严格审核,0.0625,6
32,2025-06-17 06:30:09+08:00,5634013749,zfw平安浦城,18,转发！警惕！间谍用套取我国敏感数据,0.9921941251268696,6
33,2025-06-17 06:29:54+08:00,6052397037,天马行空khgjh,17,警惕,0.7000000000000001,6
34,2025-06-17 06:24:54+08:00,2756810301,Lucas-果果,3,提高警惕！,0.6774921075767272,6
35,2025-06-17 07:01:22+08:00,2743832653,月亮没有错2023,86,无孔不入，防不胜防，加强警惕！！！,0.5705108330059742,7
36,2025-06-17 06:41:45+08:00,1577668562,乄醉青丝,43,窃密形式层出不穷允悲,0.9996536667388968,6
37,2025-06-17 08:42:47+08:00,7096011968,_imllll,309,这个杨教授太聪明了赞,0.9777203191396913,8
38,2025-06-17 08:59:17+08:00,5715280715,持续花式摸鱼,361,杨教授牛逼！,0.9541361490826719,8
39,2025-06-17 08:10:11+08:00,1803747925,Miss落落小飞侠,178,知网。。。太危险了,0.3649911903339911,8
40,2025-06-17 08:08:04+08:00,7617035923,成熟斑马爱运动,168,提高警惕,0.6774921075767272,8
41,2025-06-17 06:39:35+08:00,5538911766,一道佛光照我家,39,铜墙铁壁固若金汤，狠狠打击各类犯罪分子,0.985657227546227,6
42,2025-06-17 06:37:01+08:00,6449799727,风笛铃响,32,好可怕,0.5391426119377016,6
43,2025-06-17 06:36:55+08:00,2714384133,Italy帅帅,31,小心驶得万年船,0.7766092379729546,6
44,2025-06-17 06:28:11+08:00,6097196432,御姐Alice988,13,提高警惕！打击间谍！护我中华！,0.9337247031129462,6
46,2025-06-17 08:12:47+08:00,1822782443,野地里的驴子shm,186,战场无处不在！,0.9454469159184703,8
47,2025-06-17 16:57:42+08:00,7791261277,橘子水加块冰,686,间谍冒充大学生窃密提高警惕,0.9613155403268608,16
48,2025-06-17 12:05:10+08:00,6602135542,灯池叙酒欢,653,警惕,0.7000000000000001,12
49,2025-06-17 11:26:12+08:00,5791983054,Uhey_eeeeeee17,638,警惕！,0.7000000000000001,11
50,2025-06-17 11:16:47+08:00,1886253412,骑个龙撞南墙,630,害虫无孔不入,0.4737672181921917,11
51,2025-06-17 11:15:23+08:00,5648488259,时间流浪者-2025,628,大学生实惨苦涩苦涩苦涩,0.9985381881809047,11
52,2025-06-17 11:11:37+08:00,7457681393,人间dlrb美善,624,提高警惕,0.6774921075767272,11
53,2025-06-17 11:03:34+08:00,6582307098,千里眼视频,620,不去乱点各种来历不明的链接，要高度警惕自觉。,0.2822828631542895,11
54,2025-06-17 10:31:30+08:00,7514794509,Clytie-Narcissus,592,中国有那么多的日本学校尤其是上海居多是不是渗透在了中国的任何地方,0.9918036114782902,10
55,2025-06-17 10:29:47+08:00,1066197297,心理学刘爱民,590,间谍用套取我国敏感数据保持警惕！,0.9929668996584372,10
56,2025-06-17 10:28:51+08:00,5832581515,青青在微博,589,千万不能随意打开，很多网络病毒也都是这样传来。,0.038329806104689834,10
57,2025-06-17 10:24:46+08:00,7838861673,野生小顽童,584,间谍冒充大学生窃密间谍用套取我国敏感数据,0.9987437835114469,10
58,2025-06-17 10:24:23+08:00,7625854015,萌菜芽芽_Kun,582,提高警惕,0.6774921075767272,10
59,2025-06-17 10:23:53+08:00,1868172077,小狼狗的滚滚,581,看伊朗如今的下场就知道情报战是多重要，吾辈警惕,0.9416499376260454,10
60,2025-06-17 10:06:02+08:00,6106730868,财乖乖,550,幸好老教授反应迅速！！,0.4466301763259959,10
61,2025-06-17 10:04:47+08:00,6899585690,张庭TST庭秘密活酵母-敏儿,546,防人之心不可无，无事献殷勤非奸即盗,0.9536290987667367,10
62,2025-06-17 09:58:23+08:00,5599310151,佳多淇,536,层出不穷的骗术，防不胜防啊,0.9240011473500075,9
63,2025-06-17 09:56:26+08:00,7875828364,星星落在口袋哩,530,警惕,0.7000000000000001,9
64,2025-06-17 09:53:07+08:00,1980486671,在猎户座臂弯里,518,马克并转发一下,0.8780844279994069,9
65,2025-06-17 09:47:28+08:00,6601734597,茵四街角,499,警惕,0.7000000000000001,9
66,2025-06-17 09:46:27+08:00,7908368486,Q兔子不理熊Q,498,向善是一种文明，也是一种光明。善良之举，需要人人拥有；善良之歌，需要人人唱和。让我们一起轻掬季风，淡挽流云，抚一弦清音，让幸福在平凡、平淡中盛开如兰，让善良之歌在红尘的原野里辗转悠长。让我们一起心存善良和大爱，微笑着，走过季节的轮回。,0.9999999999999984,9
67,2025-06-17 09:44:52+08:00,1919769503,江油公安,494,转发！警惕！间谍用套取我国敏感数据,0.9921941251268696,9
68,2025-06-17 09:41:42+08:00,7777218274,电影会员之,486,间谍冒充大学生窃密提防警惕！转发,0.9572148657505437,9
69,2025-06-17 09:39:39+08:00,1803334901,逐新_光的胖哒儿,476,间谍用套取我国敏感数据太可怕了间谍冒充大学生窃密间谍无处不在。我们要保持警惕,0.9996357838591412,9
70,2025-06-17 09:20:33+08:00,2972605707,红象鼻,435,可恶！严惩不贷！咖啡咖啡咖啡间谍用套取我国敏感数据间谍冒充大学生窃密,0.9828975310954425,9
71,2025-06-17 09:12:40+08:00,1316654051,葱宝不唱歌,412,间谍手段日益更新，我们要加强警惕啊,0.5514175336281335,9
72,2025-06-17 09:12:21+08:00,1407571191,杨扉-从前有辆车,410,虽然我等草民对狗特务没有什么利用价值，但是我们可以擦亮眼睛，提高警惕，注意身边的这等反常事情。,0.8892259105039315,9
73,2025-06-17 09:09:29+08:00,6007330541,六月非晚zz,396,教授警惕性好高，给杨教授点赞！,0.9930988097263328,9
74,2025-06-17 09:07:26+08:00,7949422977,飞线定中宫,389,间谍用套取我国敏感数据没想到用也能套取我国敏感数据，间谍的各种手段防不胜防，要提高警惕。,0.9998997166121716,9
75,2025-06-17 09:05:37+08:00,5861700007,水之月_,384,提高警惕！,0.6774921075767272,9
76,2025-06-17 09:03:56+08:00,2316015512,安之若素-暉,378,对间谍来一个杀一个怒怒怒,0.06748414008012704,9
77,2025-06-17 09:03:25+08:00,1463720780,小圆脸说你脸太方不好看,374,太可恶了，电脑不保险,0.012975887707417422,9
78,2025-06-17 08:59:51+08:00,2304298644,猫屋奈奈,366,小心外国间谍的窃取和渗透，看看现在国际各地的战争，吸取经验教训。,0.7670183107265752,8
79,2025-06-17 08:58:39+08:00,7736530432,小丑滚泥巴,358,不愧是知名教授，有敏感度，要是换了别人恐怕早就打开了,0.9090441502628909,8
80,2025-06-17 08:58:37+08:00,1508736507,琴音姑娘,357,敌特无处不在,0.9188732007620487,8
81,2025-06-17 08:56:25+08:00,7953001744,雪凝fallen,352,大家工作时注意保护隐私啊允悲,0.9663431526960256,8
82,2025-06-17 08:55:30+08:00,1356816851,大铁狮,350,间谍用套取我国敏感数据,0.9853390660632646,8
83,2025-06-17 08:53:39+08:00,1733559322,财熊猫HW,342,间谍冒充大学生窃密间谍用套取我国敏感数据千粉杰青财宝宝,0.9998692687649371,8
84,2025-06-17 08:53:35+08:00,6450767331,用户6450767331,341,间谍冒充大学生窃密间谍用套取我国敏感数据转发！警惕！加油加油加油央视新闻,0.9999997956176085,8
85,2025-06-17 08:52:57+08:00,6865526227,李爷无为,339,境外势力防不胜防啊！,0.44767845850986676,8
86,2025-06-17 08:51:44+08:00,3463102930,未完待续ya_,338,提高警惕,0.6774921075767272,8
87,2025-06-17 08:49:05+08:00,1346500060,ai米淇-小窝mi,330,间谍无孔不入啊,0.4737672181921917,8
88,2025-06-17 08:40:37+08:00,6447866584,AAA汽修贴膜内饰批发,299,警惕,0.7000000000000001,8
89,2025-06-17 08:38:24+08:00,3828405293,小茶壶小狐狸,293,间谍冒充大学生窃密间谍用套取我国敏感数据爱我中华！,0.9997912621246839,8
90,2025-06-17 08:35:31+08:00,5201000633,平安泸县,287,转发！警惕！间谍用套取我国敏感数据,0.9921941251268696,8
91,2025-06-17 08:35:17+08:00,7858958109,炜听星-想见面D,285,必须提高警惕！！！！,0.36034949923953496,8
92,2025-06-17 08:33:03+08:00,1897067770,周哦吼,274,提高警惕,0.6774921075767272,8
93,2025-06-17 08:32:41+08:00,1852500253,绯村落,272,说到我第一时间想到的是木马,0.6728322033837204,8
94,2025-06-17 08:31:27+08:00,6603803502,小猫咪有点皮,266,间谍用套取我国敏感数据这间谍的套路越来越多了。外网电脑和内网电脑还是要分开用的，严格遵守保密制度，既是配合工作，也是保护自己。,0.8908875365525528,8
95,2025-06-17 08:30:34+08:00,1864898592,Cantusuly,260,警惕,0.7000000000000001,8
96,2025-06-17 08:29:57+08:00,7505051745,wayward_123,254,提高保密意识,0.08920358046342036,8
97,2025-06-17 08:26:15+08:00,5874288626,晓-晓不小8,238,提高警惕，维护祖国数据安全鲜花,0.9639503838268227,8
98,2025-06-17 08:25:57+08:00,5688622298,过期小米饼,237,好牛啊,0.740911091813916,8
99,2025-06-17 08:25:47+08:00,1579272310,衍帝,236,看到这个报道，我想到的是杨振宁教授,0.9694708882371471,8
100,2025-06-17 08:23:11+08:00,2934531194,紫玉蓝王,226,杨教授赞赞警惕警惕警惕拳头拳头,0.99987198250623,8
101,2025-06-17 08:20:49+08:00,7567163300,崔光锋微博,216,早安,0.7665794056347368,8
102,2025-06-17 08:18:52+08:00,1898116811,笑笑哈哈漫漫悠长,210,帝国主义忘我之心不死思考,0.9489502585986105,8
103,2025-06-17 08:16:35+08:00,1896820725,天津股侠,199,间谍冒充大学生窃密提防警惕！转发,0.9572148657505437,8
104,2025-06-17 08:14:10+08:00,6191847840,Aling_DW,194,间谍冒充大学生窃密转发！警惕！间谍用套取我国敏感数据“尊敬的杨教授，您好！我是小王，是一名在读硕士研究生，很想申请报考成为您的学生，在您指导下进行学术研究，可以通过邮件与您沟通下吗”某日，杨教授在工作邮箱中看到一封标题为“研究申请”的邮件，作为国内某知名大学前沿科技全文,0.9999999993718665,8
105,2025-06-17 08:13:43+08:00,2370338902,财书店,191,间谍冒充大学生窃密间谍用套取我国敏感数据原来以为只发生在影视视中，没想现实里，间谍无处不在，无孔不入啊。,0.9989433370903149,8
106,2025-06-17 08:10:38+08:00,7923229672,翊口年糕粥,181,警惕,0.7000000000000001,8
107,2025-06-17 08:10:14+08:00,7304378930,帘卷燕飞CY,179,提高警惕,0.6774921075767272,8
108,2025-06-17 08:04:08+08:00,6609064029,4029舒心,161,提高警惕,0.6774921075767272,8
109,2025-06-17 08:03:31+08:00,5697973868,等待老板翻牌的jian,157,提高警惕,0.6774921075767272,8
110,2025-06-17 07:56:01+08:00,7489669654,爱1山的213,146,加强,0.5262327818078083,7
111,2025-06-17 07:54:19+08:00,1369857541,嘉嘉的私人小花园,144,防不胜防啊,0.7499999999999999,7
112,2025-06-17 07:52:06+08:00,2844644700,若是微微笑,141,警惕,0.7000000000000001,7
113,2025-06-17 07:51:44+08:00,5173437076,PALESTINE胡许艺佳WORLD,140,警察？,0.34782608695652206,7
114,2025-06-17 07:50:43+08:00,6274987711,感恩遇见你天使godfrey,137,提高警惕！,0.6774921075767272,7
115,2025-06-17 07:47:27+08:00,5138304917,心上的美味嘉肴,130,杨教授的警惕性很高,0.9674648063661376,7
116,2025-06-17 07:46:02+08:00,7726191801,紫忆Allen,129,提高警惕,0.6774921075767272,7
117,2025-06-17 07:31:23+08:00,5900664797,与沉拾忆,122,我的天！警惕,0.5641165713045098,7
118,2025-06-17 07:27:10+08:00,7626469467,keumzena,113,提高警惕！,0.6774921075767272,7
119,2025-06-17 07:26:28+08:00,7326250415,二楼等lookJeff,112,警惕,0.7000000000000001,7
120,2025-06-17 07:13:06+08:00,7555673448,用户鸟伴青鸾飞,103,提高警惕！维护国家安全，人人有责！,0.7249436277753416,7
121,2025-06-17 07:10:35+08:00,6582970448,沙了泥萌呀,101,提高警惕,0.6774921075767272,7
122,2025-06-17 07:08:56+08:00,1681730842,白眉大侠5995,99,维护国家安全，人人有责，警惕之心需常有加油加油加油加油,0.9999709580430949,7
123,2025-06-17 07:06:40+08:00,1691680504,一路八一路发,96,警惕！,0.7000000000000001,7
124,2025-06-17 07:02:58+08:00,7756593623,一天萌晕八百回,92,警惕警惕！,0.8305553368501174,7
125,2025-06-17 07:02:38+08:00,1429979720,风之婈,91,警惕,0.7000000000000001,7
126,2025-06-17 07:01:57+08:00,5713616646,LUOXIANGDE168168,89,警惕,0.7000000000000001,7
127,2025-06-17 07:00:04+08:00,5173437076,PALESTINE胡许艺佳WORLD,85,谨防各种特工间谍,0.44767845850986676,7
128,2025-06-17 06:55:52+08:00,7758255215,青涩漫雾,77,提高警惕,0.6774921075767272,6
129,2025-06-17 06:55:47+08:00,3233825624,爱吃香蕉的狮砸,76,警惕！,0.7000000000000001,6
130,2025-06-17 06:54:21+08:00,7808582598,ID浪漫玫瑰禁区,73,要注意提高警惕,0.6774921075767272,6
131,2025-06-17 06:51:01+08:00,5356911238,飒露紫233,67,我刚刚想的就是：问题应该就是在你要打开邮件那里，果然,0.12866245569990742,6
132,2025-06-17 06:50:35+08:00,6639732296,夏遇梦境,66,警惕,0.7000000000000001,6
133,2025-06-17 06:45:59+08:00,7392924796,凑合相遇,57,警惕,0.7000000000000001,6
134,2025-06-17 06:43:16+08:00,1735694275,小花小草资讯博,48,警惕,0.7000000000000001,6
135,2025-06-17 06:42:54+08:00,5392464362,o柳妄o,46,提高警惕,0.6774921075767272,6
136,2025-06-17 06:42:35+08:00,2098833222,山角之恋,45,提高警惕,0.6774921075767272,6
137,2025-06-17 06:41:09+08:00,7741737061,颜汐不想学化学,42,警惕,0.7000000000000001,6
138,2025-06-17 06:38:30+08:00,5620282617,嘉轩Xy,35,警惕,0.7000000000000001,6
139,2025-06-17 06:31:33+08:00,6473575887,晕耶小猫,24,提高警惕,0.6774921075767272,6
140,2025-06-17 06:31:28+08:00,6527442671,茶物语Su_,23,提高警惕,0.6774921075767272,6
141,2025-06-17 06:28:26+08:00,1642896764,雨痕划过脸颊_,15,提高警惕,0.6774921075767272,6
142,2025-06-17 06:25:13+08:00,7726719136,爱霖人-,5,污,0.1875,6
143,2025-06-17 06:25:10+08:00,5951888263,逃离陌上的软耳甜兔,4,警惕！间谍用套取我国敏感数据。国家安全人人有责拳头,0.9929927197609302,6
144,2025-06-17 08:01:00+08:00,7560202291,嫑葱嫑香菜,153,提高警惕！,0.6774921075767272,8
145,2025-06-17 17:07:47+08:00,7921507885,ai发光,688,常怀警惕之心,0.9574201910351492,17
146,2025-06-17 15:47:43+08:00,5264685170,一心一毅耶,684,提高警惕,0.6774921075767272,15
147,2025-06-17 15:07:19+08:00,5203691145,GRiGDhft36D82,683,。,0.5262327818078083,15
148,2025-06-17 14:40:11+08:00,6178228074,用户6178228074,682,抱抱抱抱,0.890142453148024,14
149,2025-06-17 14:38:06+08:00,5846372880,alanxiao,681,要两部电脑，一部工作电脑不可连网，另外一部电脑收收邮件。,0.12986878577982286,14
150,2025-06-17 14:05:11+08:00,3784399354,三月的美食美味,678,允悲,0.9729817270377529,14
151,2025-06-17 13:51:10+08:00,7739764890,用户7739764890,676,网络间谍，需格外小心！,0.16323710819231474,13
152,2025-06-17 13:41:59+08:00,5607196466,子沐瑾,673,警惕,0.7000000000000001,13
153,2025-06-17 13:40:51+08:00,3909980747,圈圈儿到底,672,得给这位杨教授加鸡腿,0.9650561111906005,13
154,2025-06-17 13:27:57+08:00,2610588647,夏天的云W,670,这两年间谍好多啊，中国的强大让国外有了觊觎之心。,0.9287136238042139,13
155,2025-06-17 13:09:07+08:00,7419792578,莫真星1949,668,幸亏有防备啊,0.5659500546462404,13
156,2025-06-17 12:31:55+08:00,7583391398,都好看都喜欢la,663,间谍冒充大学生窃密间谍用套取我国敏感数据,0.9987437835114469,12
157,2025-06-17 12:31:06+08:00,3864635001,霏霏妈咪1,661,一定要严防！,0.5,12
158,2025-06-17 12:20:37+08:00,7876402579,四度痴岁-大同何,659,间谍冒充大学生窃密间谍用套取我国敏感数据,0.9987437835114469,12
159,2025-06-17 12:20:06+08:00,5955629037,花清清晨,658,注意外来人员，不贪就事半功倍。,0.9175320812926359,12
160,2025-06-17 12:12:03+08:00,1806687725,陈静cici,656,维护国家安全,0.7557866497272384,12
161,2025-06-17 12:03:17+08:00,2086969647,欧洲大神助我脱非,652,好家伙哆啦梦害怕哆啦梦害怕哆啦梦害怕,0.7184204801030107,12
