编号,评论时间,用户ID,昵称,评论楼层,评论内容,情感值,小时
162,2025-06-17 12:01:04+08:00,1409798195,敢讲实话的老百姓,649,邮件来的基本都是外国人,0.24733969091392838,12
163,2025-06-17 11:59:38+08:00,2297540651,s小小酥ray,648,中国流行发邮件交流学术么？,0.6762785814360374,11
164,2025-06-17 11:43:05+08:00,7744993469,夕阳西下那是,645,发现的冰山一角思考美国将砸亿美元全球抹黑中国美国拨款亿美元雇水军黑中国美方长期对中国手机用户无差别监听,0.9763516983492521,11
165,2025-06-17 11:30:03+08:00,5879718046,半亩书塘,640,这种外校的还能提高警惕一点，如果是学校内的发给教授呢？笑,0.9691646961187006,11
166,2025-06-17 11:26:17+08:00,1497847337,时刻_一-,639,保护祖国机密，提高警惕，勿忘历史，谨防糖衣炮弹！,0.9706612967213796,11
167,2025-06-17 11:25:16+08:00,7805849754,倾心恋星星,637,提高警惕,0.6774921075767272,11
168,2025-06-17 11:23:57+08:00,7952237606,少林寺驻武当派办事处主任王神父,636,间谍真是无孔不入,0.4737672181921917,11
169,2025-06-17 11:22:15+08:00,7415006133,苡淇念栀,635,警惕,0.7000000000000001,11
170,2025-06-17 11:21:36+08:00,2264848982,何忠琴,634,间谍无孔不入,0.4737672181921917,11
171,2025-06-17 11:21:03+08:00,6616005125,羞答答的刺儿头,633,那防不胜防啊，发邮件都会带着附件简历啊,0.3141589277718305,11
172,2025-06-17 11:20:49+08:00,6198568501,用自己的jio走自己的路,632,教授好样的间谍行为不是只存在电视剧而是真真实实随时有可能发生在身边,0.9796824795145108,11
173,2025-06-17 11:18:26+08:00,7908199062,AKATSUKIKIRARA,631,间谍真是无孔不入啊黑线,0.44767845850986676,11
174,2025-06-17 11:12:45+08:00,7959823642,豌豆与胖奇,627,无事献殷勤，非奸即盗！,0.9259849740779894,11
175,2025-06-17 11:12:23+08:00,7146738670,不知不觉丶_,626,警惕,0.7000000000000001,11
176,2025-06-17 11:09:54+08:00,5327695027,买土豆也用券呀,623,你的不警惕，可能导致家破人亡,0.6179395721711685,11
177,2025-06-17 11:09:31+08:00,7351027412,叶赫那拉海东青,622,维护祖国国家安全，人人有责。,0.86250880135506,11
178,2025-06-17 11:05:23+08:00,6073275052,水恋生鱼片,621,杨教授威武打,0.9023723038876816,11
179,2025-06-17 10:59:04+08:00,1067863011,沧海一担米,617,防不胜防允悲,0.9898234104288669,10
180,2025-06-17 10:57:42+08:00,7483531733,辰星烟火,616,警惕,0.7000000000000001,10
181,2025-06-17 10:51:18+08:00,6983328633,梦幻小鹿在娱乐,613,为杨教授点赞赞赞赞,0.9999863773584936,10
182,2025-06-17 10:50:43+08:00,3177100924,小微子2013,612,一定要多注意防范,0.875,10
183,2025-06-17 10:50:35+08:00,7402300867,消失的一秒,611,涉密电脑不联网,0.09960017449812153,10
184,2025-06-17 10:50:12+08:00,5575012368,疯-2333,610,这间谍是不是脑子有问题二哈你做戏做全套啊，弄个学生的简历发过去呗,0.5385725833939476,10
185,2025-06-17 10:49:45+08:00,7953424498,鲜橙年年有余,609,提高警惕,0.6774921075767272,10
186,2025-06-17 10:44:23+08:00,1609317274,拓海君,603,为什么要找一个美颜过的男警察，来做这种严肃的宣导？,0.2632983126884142,10
187,2025-06-17 10:39:25+08:00,1857662862,陌上婲开为战顾,601,无事献殷勤非奸即盗怒,0.8633602881178221,10
188,2025-06-17 10:35:54+08:00,7087692762,平常心啊平常心啊平常心,598,汉奸,0.04347826086956519,10
189,2025-06-17 10:35:05+08:00,5727188719,株洲渌口公安,595,间谍冒充大学生窃密转发！警惕！间谍用套取我国敏感数据,0.9993353841956254,10
190,2025-06-17 10:33:15+08:00,6074147837,是非a分明,593,看来全民抓间谍是必须的。伊朗就是最好的列证！,0.6972712319163503,10
191,2025-06-17 10:25:39+08:00,1899323087,luonemo,585,牛逼,0.6923786120385603,10
192,2025-06-17 10:21:14+08:00,7911009602,a祁筱祎,579,比利亚雷亚尔足球俱乐部比利亚雷亚尔足球俱乐部：,0.21239363537786282,10
193,2025-06-17 10:19:28+08:00,6032241488,小小的紫旋,577,杨教授鼓掌鼓掌鼓掌,0.9961267317158967,10
194,2025-06-17 10:19:16+08:00,5876131361,陕西政法,575,提防警惕！转发,0.6541299100987479,10
195,2025-06-17 10:17:59+08:00,5155616203,喜乐r411,572,转发,0.5,10
196,2025-06-17 10:17:12+08:00,2665855281,一只戴眼镜的哈士奇,570,哈士奇只养戴眼镜的哈士奇只养戴眼镜的,0.004616819370616199,10
197,2025-06-17 10:15:25+08:00,7542913365,暴打见嗖小狗叠,568,啊？？？这种方式真是开眼了,0.09593955454849157,10
198,2025-06-17 10:15:11+08:00,5348152491,爱留住的味道,567,时刻保持警惕,0.769692533856882,10
199,2025-06-17 10:15:04+08:00,2415608027,北方法制报,566,间谍冒充大学生窃密转发！警惕！间谍用套取我国敏感数据,0.9993353841956254,10
200,2025-06-17 10:13:09+08:00,6851355947,Dance_With_Dead,565,这是在呼吁大家改用啊，毕竟国外软件防不胜防,0.2808745903628158,10
201,2025-06-17 10:12:37+08:00,2804750980,smin3,564,古人云：害人之心不可有，防人之心不可无！国家高级人才更应牢记。外国间媟无孔不入，为了国家的安全，国人都应牢牢守护。窃密，失密者，一经发現就要严惩加油加油加油,0.9999997870223346,10
202,2025-06-17 10:12:09+08:00,6290048926,小鹿YV99,562,提高警惕,0.6774921075767272,10
203,2025-06-17 10:08:37+08:00,5931235544,玫玫-5931235544,554,希望每个中国人都有安全意识的自觉！,0.8782011796327525,10
204,2025-06-17 10:07:43+08:00,7775789668,专业推师sub,553,间谍用套取我国敏感数据间谍冒充大学生窃密,0.9987437835114469,10
205,2025-06-17 10:05:39+08:00,2569900401,用户klp6l64y3a,548,免费，且是国产软件，大家以后别用微软软件了,0.7766652907674418,10
206,2025-06-17 10:03:38+08:00,7363601391,用户7363601391,545,加强警惕，刻不容缓！,0.6774921075767265,10
207,2025-06-17 10:02:59+08:00,1622389935,月光女孩011,544,防不胜防生病,0.7059514727817189,10
208,2025-06-17 10:01:25+08:00,7833118287,苏大强V强富美高,543,间谍冒充大学生窃密间谍用套取我国敏感数据,0.9987437835114469,10
209,2025-06-17 09:59:55+08:00,1774533134,薇不足道也,540,杨教授是这个嘻嘻,0.993676125864081,9
210,2025-06-17 09:59:09+08:00,5233734317,bbfbgm,538,杨教授好厉害,0.8990635238007105,9
211,2025-06-17 09:58:47+08:00,6035135520,尧水肃,537,干饭人,0.28480256655591185,9
212,2025-06-17 09:56:50+08:00,7685430883,元首西嗨,532,间谍都要叛死刑不然毫无震慑力,0.7918359878717914,9
213,2025-06-17 09:55:19+08:00,5673004241,脱口岳,528,间谍用套取我国敏感数据视频中警官的警号是亮点，反间防谍举报电话——。,0.9140461728449665,9
214,2025-06-17 09:54:51+08:00,1171480350,我把纠结吃掉了,525,真是花样百出、贼心不死,0.3153338136638979,9
215,2025-06-17 09:54:24+08:00,5993621167,无止境不放弃,523,赞,0.9178743961352657,9
216,2025-06-17 09:51:44+08:00,1987672675,神经刀飞天猫,513,那对微软的办公套件是不是应该做一个定向清理啊？,0.8991545919983357,9
217,2025-06-17 09:50:11+08:00,7561656802,图个好彩头,511,还能这样！！,0.35077037483443496,9
218,2025-06-17 09:49:43+08:00,2265853944,小七浅言,509,真是无孔不入。,0.5,9
219,2025-06-17 09:49:15+08:00,2216688050,离离原上草1106,508,鲜花,0.6666666666666671,9
220,2025-06-17 09:48:48+08:00,6473635835,再行跬步的拾柒,504,保研套磁人轻轻地碎了，为什么老师宁愿回间谍的邮件都不回我啊泪,0.40046199340514066,9
221,2025-06-17 09:48:48+08:00,3996736059,Link林可文,505,是要开发国产的了吗那我就开始地址国外的了,0.12746044426606074,9
222,2025-06-17 09:47:29+08:00,1870241364,Brilliant2021,500,太容易了喵喵,0.3760993195361976,9
223,2025-06-17 09:44:35+08:00,5749174368,花开于室,493,这位杨教授真的不愧是高级知识分子，警惕性很高,0.9988244470649488,9
224,2025-06-17 09:41:46+08:00,2711894874,夏目的师父,487,这才是视频的正确打开方式,0.5947238088084523,9
225,2025-06-17 09:41:15+08:00,2147435521,MizutaniMi,482,周围教授好厉害，警惕性好高，几重保险,0.3287790129225615,9
226,2025-06-17 09:41:09+08:00,6449751888,殖狗的主子在萝莉岛,481,以牙还牙,0.4737672181921908,9
227,2025-06-17 09:38:39+08:00,1418909123,杨洋1812,471,杨教授赞赞赞,0.9999044000844666,9
228,2025-06-17 09:38:23+08:00,7652733292,墨梅菸,470,教授厉害,0.5805154693033595,9
229,2025-06-17 09:37:51+08:00,5012258015,向往星空girl,467,国家安全高于一切时刻保持高度警惕,0.8471568668108351,9
230,2025-06-17 09:34:52+08:00,3861726042,玖辞_i,464,加强警惕,0.7000000000000001,9
231,2025-06-17 09:32:46+08:00,5748345779,小妖不怪吖,459,间谍能不能衮啊。从中国衮出去。烦死了。,0.28139742105081744,9
232,2025-06-17 09:31:41+08:00,7409934409,君看天下7799,457,事出反常必有妖！污污污,0.16562878137938664,9
233,2025-06-17 09:31:35+08:00,6720699357,被踢过的风,456,人人都要提高防间谍意识,0.3702228411877687,9
234,2025-06-17 09:25:08+08:00,6405213645,什么昵称都不可用也是醉了,442,真的得警惕裂开,0.43490039032731187,9
235,2025-06-17 09:21:16+08:00,3892474042,阎良法院,437,间谍冒充大学生窃密转发！警惕！间谍用套取我国敏感数据,0.9993353841956254,9
236,2025-06-17 09:21:01+08:00,1744275530,所以1987,436,为杨教授点赞,0.9863114737974712,9
237,2025-06-17 09:20:15+08:00,2640529700,许小新要淡定从容往前走,433,这事和有鸡毛关系,0.4966105030718809,9
238,2025-06-17 09:19:51+08:00,2723225155,尖尖角ABC,432,在国外的博主多查查,0.1823923274491862,9
239,2025-06-17 09:19:37+08:00,6391153308,北巷年年,430,杨教授好棒送花花送花花,0.9975517387777635,9
240,2025-06-17 09:18:38+08:00,5212502279,Alwaysbeenyou89,429,间谍冒充大学生窃密警惕间谍,0.9613155403268608,9
241,2025-06-17 09:18:11+08:00,7931601187,小狗要快乐_,428,提高警惕,0.6774921075767272,9
242,2025-06-17 09:18:02+08:00,6436076883,用户6436076883,427,公布是拿国间谍,0.21270991843231468,9
243,2025-06-17 09:17:12+08:00,6146356489,阿巴阿巴阿斯巴甜,424,？？？救命这是啥空子都钻啊还是用吧,0.19687530239123263,9
244,2025-06-17 09:13:41+08:00,1395953484,子君伢,417,怎么提高警惕呢？董明珠开企业会说不用海龟，怕他们有间谍，而用国内人才被偷拍发网络时，有多少人攻击她网暴她允悲，现在国家说间谍无处不在时，又说提高警惕，张张嘴就提高了,0.9989457808120235,9
245,2025-06-17 09:13:39+08:00,7888590580,老狼-580,416,为杨教授点赞赞,0.9986226249235189,9
246,2025-06-17 09:12:55+08:00,7927431874,小狗的爱是哈哈,414,提高警惕,0.6774921075767272,9
247,2025-06-17 09:12:09+08:00,1817618907,柚子太太的侄女路路,408,大家警惕,0.7000000000000001,9
248,2025-06-17 09:11:34+08:00,5127432455,远山浅1102,405,关键部门的人要小心,0.20687320908087203,9
249,2025-06-17 09:11:29+08:00,7389920881,尘缘不来,404,恐怖,0.293103448275862,9
250,2025-06-17 09:11:24+08:00,6550080359,id6550080359,403,如果用打开该文档还会中木马吗？思考,0.9870278942667203,9
251,2025-06-17 09:10:09+08:00,1923684093,晴天小玛卡,399,杨教授不错，很有防范意识，点赞,0.9996745704258303,9
252,2025-06-17 09:09:37+08:00,7443476490,-YIBO-SEAN,397,真是無孔不入,0.5042906456488253,9
253,2025-06-17 09:08:48+08:00,5651498471,怼小绿婊专业户,395,这是没泄密的，泄密的不知有多少,0.166552052911216,9
254,2025-06-17 09:08:43+08:00,3792014354,千年等黎非,394,哼哼,0.5262327818078083,9
255,2025-06-17 09:08:38+08:00,5509409247,小狗爱哈哈,393,提高警惕,0.6774921075767272,9
256,2025-06-17 09:08:27+08:00,7805797567,macrocosm_---_------_,392,厉害了,0.35964912280701733,9
257,2025-06-17 09:07:53+08:00,6160012952,1梦之久,391,多多保护好这样的杨教授,0.9827918880998232,9
258,2025-06-17 09:07:23+08:00,3718831473,Y餘拾壹,388,，,0.5262327818078083,9
259,2025-06-17 09:06:35+08:00,7755076771,烟雨任平生ee,386,提高警惕，维护国家安全，人人有责,0.7249436277753416,9
260,2025-06-17 09:06:25+08:00,5399864343,特朗pu太愿意撒谎了,385,这手段有些低级允悲，黑客入侵比这高级吧,0.8707265115644403,9
261,2025-06-17 09:05:33+08:00,6275659691,少玩手机多看会儿书,382,哈工大？,0.505746216935643,9
262,2025-06-17 09:04:42+08:00,6134330378,科技潮流站,380,抓到就枪毙,0.4461464103551609,9
263,2025-06-17 09:04:05+08:00,2892719151,苏杉悦泽,379,时时刻刻都要加强警惕,0.6990561925224035,9
264,2025-06-17 09:02:15+08:00,2723225155,尖尖角ABC,371,查查小米的粉丝群体吧受国外势力蛊惑太严重了,0.6245835055824821,9
265,2025-06-17 09:01:24+08:00,3978293172,郭-wei,370,防范间谍,0.8630530555797126,9
266,2025-06-17 09:00:56+08:00,5592158636,晨曦78688,369,给杨教授点赞赞赞,0.9998629435418106,9
267,2025-06-17 08:59:54+08:00,3864111451,二er了吧唧,367,杨教授这警惕性，太棒了太优秀了,0.9953709206276277,8
268,2025-06-17 08:59:25+08:00,7948152413,有什麼可豪橫的_重生版,362,感觉他们紧缺的是稀土提纯的技术工艺，还是要提防,0.20535061238149344,8
269,2025-06-17 08:58:06+08:00,1143507567,温凉玉021,355,提高保密意识,0.08920358046342036,8
270,2025-06-17 08:57:07+08:00,7672392327,一直努力着126,353,卧槽间谍用套取我国敏感数据,0.9837418924057864,8
271,2025-06-17 08:56:00+08:00,6553485088,玛珂啵萝蜜,351,提高警惕！,0.6774921075767272,8
272,2025-06-17 08:54:59+08:00,6439941481,毓衡K,349,这真是防不胜防,0.7499999999999999,8
273,2025-06-17 08:54:44+08:00,6091478644,小狮子198511,346,提高安全意识,0.39493583783453945,8
274,2025-06-17 08:51:04+08:00,7924835145,小菠超优秀,336,注意,0.5262327818078083,8
275,2025-06-17 08:50:17+08:00,1905527655,越越越魅郑,334,人人都应成为“杨教授”,0.9373891433211066,8
276,2025-06-17 08:50:08+08:00,7438114159,夏天有常安,333,警惕警惕,0.8305553368501174,8
277,2025-06-17 08:47:37+08:00,1688873247,百度电影票房吧党员,327,黑线,0.5,8
278,2025-06-17 08:47:32+08:00,1750551724,猴猴猴子小姐,326,查阅邮件的是另外一台电脑证明教授保密意识很强点赞,0.13638788959333614,8
279,2025-06-17 08:46:13+08:00,5214323896,天使的眼泪鄂,320,转发,0.5,8
280,2025-06-17 08:44:35+08:00,6520797546,香如故啊香如故,316,陈医生陈医生警惕,0.9586492445703113,8
281,2025-06-17 08:44:30+08:00,3930500095,刘柳流六溜留琉,315,这样用，我也觉得像诈骗,0.19999999999999996,8
282,2025-06-17 08:43:24+08:00,5936641595,2025一起发财,312,，不要点击来自陌生人邮件里的任何链接，也不要下载任何附件,0.014232864026654357,8
283,2025-06-17 08:42:23+08:00,6702755348,momo夏天版,308,都这么离谱了,0.4211210510595148,8
284,2025-06-17 08:42:23+08:00,5036100077,江户川卷福,307,涉密不上网，上网不涉密，还要确保不在互联网电脑上处理涉密文件,0.0459475990937408,8
285,2025-06-17 08:42:21+08:00,6570264882,年轻的战士1893,306,几千年的计谋韬略经验教训，认真起来其余的都是雕虫小技,0.9297688930564659,8
286,2025-06-17 08:41:58+08:00,2118612547,最热门小说排行榜,304,卧槽，间谍无孔不入，防不胜防啊,0.6864403227850107,8
287,2025-06-17 08:41:58+08:00,6520797546,香如故啊香如故,305,宝贝儿菁宝贝儿菁无孔不入，防不胜防！加强警惕！,0.9990897578150557,8
288,2025-06-17 08:41:35+08:00,5159799487,铃兰紫花,303,一定要严防间谍,0.4737672181921908,8
289,2025-06-17 08:41:10+08:00,3873346150,爱吃橙子z5,301,当间谍的是国人吗？,0.6429335818357289,8
290,2025-06-17 08:40:18+08:00,7170138007,樂_橙子,298,警惕,0.7000000000000001,8
291,2025-06-17 08:40:03+08:00,7708780659,不存在的阿阳,297,要禁用宏,0.37139403384287883,8
292,2025-06-17 08:37:47+08:00,6455466979,凉笙Liangsheng1,291,保守国家秘密，公民人人有责,0.9920920757248215,8
293,2025-06-17 08:37:11+08:00,5706802250,长安chris,290,杨教授好棒,0.9847795233536257,8
294,2025-06-17 08:35:59+08:00,7628702720,爆炒橘橙,289,有伊朗在前，我们的国安人员真的要更加辛苦了！国民也要更加警惕，阴谋黑暗就在身边！,0.9982045809969766,8
295,2025-06-17 08:35:34+08:00,1632989483,牵手009,288,防不胜防，必须为教授点赞,0.9810888281907002,8
296,2025-06-17 08:35:21+08:00,7384634282,yolanda_3x,286,抓住间谍处死,0.32373597246388686,8
297,2025-06-17 08:34:53+08:00,7165806422,Mrs_朱事顺利,283,严查！！！严惩！！,0.07773512390942339,8
298,2025-06-17 08:34:41+08:00,5692981139,莹莹你大胆的往前走,282,提高警惕！间谍可能就在我们身边！,0.8734631691265917,8
299,2025-06-17 08:33:11+08:00,2753713015,宇宙小小人,275,转发！警惕间谍冒充大学生窃密,0.9613155403268603,8
300,2025-06-17 08:32:48+08:00,6014526218,团子之爱,273,建议汉奸一律死刑，家人连坐！这样极大减少汉奸数量！,0.0004722961018670535,8
301,2025-06-17 18:38:00+08:00,8003346970,俏皮小金鱼是锦鲤_jojo,691,提高警惕,0.6774921075767272,18
302,2025-06-17 18:31:01+08:00,3193813300,五星聚,690,话筒话筒话筒,0.9983104778673734,18
304,2025-06-17 14:07:40+08:00,1863114434,建寧居士,679,狼子野心从来就没有断过，最好的办法就是让它们消失,0.25097760355153265,14
305,2025-06-17 14:03:53+08:00,7748410338,路口红绿灯左转右转左右转,677,？央视新闻还用人啊？,0.8935585836109513,14
306,2025-06-17 13:45:45+08:00,7917734497,菠萝菠萝咪咕,674,警惕,0.7000000000000001,13
307,2025-06-17 13:32:30+08:00,7892666213,傅诗淇的果果呀-17,671,提高警惕,0.6774921075767272,13
308,2025-06-17 12:40:12+08:00,3122710825,秋风健,666,必须始终保持警惕呀，特别是主管部门始终绷紧那根弦，防患于未然。,0.8022284518078968,12
309,2025-06-17 12:38:09+08:00,6399804600,Longlivemacsoap,665,微软中国微软中国出来挨打闭嘴,0.9796131807326943,12
310,2025-06-17 12:35:36+08:00,7900325238,草莓酱爆爆珠珠,664,警惕！,0.7000000000000001,12
311,2025-06-17 12:31:12+08:00,7893181564,讲江酱哇,662,维护国家安全，人人有责,0.5822155478017162,12
312,2025-06-17 12:24:52+08:00,7948740970,清风竹林深,660,提高警惕！！,0.45653299346146314,12
313,2025-06-17 12:10:27+08:00,7920686464,海阔飞越,655,间谍用套取我国敏感数据,0.9853390660632646,12
314,2025-06-17 12:07:46+08:00,1085583241,潮汕大菠萝鱼丸砂锅粥,654,允悲防不胜防啊！！！,0.9579331200822463,12
315,2025-06-17 11:50:22+08:00,7870676039,贝有芯,647,间谍冒充大学生窃密间谍用套取我国敏感数据间谍手法层出不穷，防不胜防可怜,0.9998967652902724,11
316,2025-06-17 11:37:41+08:00,7353355323,财到家喽,643,间谍用套取敏感数据，这操作挺“复古”，以为就是打打字，没想到还能当间谍工具，提醒大家电脑里的敏感文件可得加密，别随便外传，不然被人盯上了都不知道。间谍用套取我国敏感数据,0.9984355271829233,11
317,2025-06-17 11:35:58+08:00,8002728888,李记三鲜豆花,642,思考思考思考,0.9992236668569919,11
318,2025-06-17 11:31:50+08:00,8004379900,这个狼王有点甜,641,打打,0.7499999999999999,11
319,2025-06-17 11:15:49+08:00,6879093937,涩谷GAI,629,有啥机密,0.7499999999999999,11
320,2025-06-17 11:01:56+08:00,1408114867,高铁J,619,对于这样的案例，要多多宣讲,0.8378449578568582,11
